birth_state
Alabama
Alaska
Argentina
Arizona
Arkansas
Australia
Austria
Bahamas
Belgium
Bosnia and Herzegovina
Brazil
Bulgaria
California
Cameroon
Canada
Cape Verde
China
Colorado
Connecticut
Croatia
Cuba
Czech Republic
Delaware
Democratic Republic of the Congo
Denmark
District of Columbia
Dominica
Dominican Republic
Egypt
Estonia
FYR Macedonia
Finland
Florida
France
French Guiana
Gabon
Georgia
Germany
Greece
Guadeloupe
Guyana
Haiti
Hawaii
Iceland
Idaho
Illinois
Indiana
Iowa
Ireland
Islamic Republic of Iran
Israel
Italy
Jamaica
Japan
Kansas
Kentucky
Latvia
Lebanon
Lithuania
Louisiana
Luxembourg
Maine
Mali
Martinique
Maryland
Massachusetts
Mexico
Michigan
Minnesota
Mississippi
Missouri
Montana
Montenegro
Morocco
Nebraska
Netherlands
Nevada
New Hampshire
New Jersey
New Mexico
New York
New Zealand
Nigeria
North Carolina
North Dakota
Norway
Ohio
Oklahoma
Oregon
Panama
Pennsylvania
Poland
Puerto Rico
Republic of Korea
Republic of the Congo
Rhode Island
Romania
Russia
Saint Vincent and the Grenadines
Senegal
Serbia
Slovakia
Slovenia
South Africa
South Carolina
South Dakota
South Sudan
Spain
Sweden
Switzerland
Taiwan
Tennessee
Texas
Trinidad and Tobago
Tunisia
Turkey
U.S. Virgin Islands
Ukraine
United Kingdom
United Republic of Tanzania
Uruguay
Utah
Venezuela
Virginia
Washington
West Virginia
Wisconsin
Wyoming
