Tm
AND
ATL
BAL
BLB
BOS
BRK
BUF
CAP
CHA
CHH
CHI
CHO
CHP
CHS
CHZ
CIN
CLE
DAL
DEN
DET
DNN
FTW
GSW
HOU
IND
INO
KCK
KCO
LAC
LAL
MEM
MIA
MIL
MIN
MLH
MNL
NJN
NOH
NOJ
NOK
NOP
NYK
NYN
OKC
ORL
PHI
PHO
PHW
POR
ROC
SAC
SAS
SDC
SDR
SEA
SFW
SHE
STB
STL
SYR
TOR
TOT
TRI
UTA
VAN
WAS
WAT
WSB
WSC
